net_store,city,address,name,regular_price,prom_price,discount,link_to_image
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Майонез Слобода Провансаль 67% 400мл,"119,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/b22/b224a85e788865db323df6b86f674393/fb9527cc6922c0090e50745323eb5f40.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко Простоквашино пастеризованное 3.2% 1.4л,"119,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/d30/d303af2240c0e7331ee7005fa9955a01/ec951b10a0f41805f5876853b391f477.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко сгущенное Рогачевъ 8.5% 270г,"159,99","119,99",25,https://img-dostavka.magnit.ru/resize/416x416/uf/3c8/3c826616ca9feb63f0c02fca91db758d/30119bc885dea7c57dd32dcf6d4611fc.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко Домик в деревне отборное пастеризованное 1.4л,"119,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/948/948fc69f7dff86ee79b8452e31a9c171/645c6f34c8b5da4e07efef8eb78d3e3e.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Майонез Ряба Провансаль Оливковый 67% 372г,"119,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/ae7/ae7acc834ff55485c126dfd49bb41bf7/08bf82433b73e63ecf7187a8ea4a0f3e.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко Parmalat Comfort безлактозное ультрапастеризованное 0.05% 1л ,"119,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/932/932fc000c59814420067b2542a5b3573/860cbb0e89594c55aaabf078a6cdc25d.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Сливки Село Зеленое 10% ультрапастеризованные 500мл,"169,99","119,99",29,https://img-dostavka.magnit.ru/resize/416x416/uf/042/04204a79bc7c424fcfc88be52aec0498/9b5bb6fee69eebbd7200a70016478d2b.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко сгущенное Алексеевское 8.5% 270г,"119,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/5de/5deacae9e68786875b26f91f51fe810e/c9f65410fe5a87afaffbbe7120f353fc.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко Большая Кружка стерилизованное 3.2% 1.45л,"119,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/efb/efb4cbebbdb823d9040cbb34a593d6a1/fec1612cdcc1a2374dfb50c49282a263.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Яйца столовое С0 10шт в ассортименте,"119,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/155/155efcb8fd164ed8d9d43e6bace551ba/16c1968240b0f35ba5116bd57dcaf91f.png
